activity,cid,acvalue
Active,46225960,0.0012
Active,11581475,0.002
Active,11581475,0.001
Active,11581475,0.0018
Active,46225963,0.011
Active,46225966,0.002
Active,46225967,0.0069
Active,10286983,0.0015
Active,46225964,0.001
Active,46225965,0.0021
Active,11957768,0.0015
Active,46226895,0.008
Active,11494701,0.0015
Active,46225959,0.0009
Active,11638926,0.0017
Active,46225969,0.0012
Active,46225970,0.0033
Active,10309899,0.006
Active,46225961,0.007
Active,46225962,0.00095
Active,11682502,0.0012
Active,11682502,0.00105
Active,46225968,0.007
Active,16655008,0.0038
Active,24944848,40.9
Active,24944850,0.551
Active,24945204,0.0084
Active,45140350,0.1653
Active,24944851,0.031
Active,45140149,0.0034
Active,46233390,0.0113
Active,45140153,0.0042
Active,45140348,0.0257
Active,45140351,0.188
Active,24944855,0.0341
Active,5311,0.04
Active,24944935,0.0132
Active,24944930,0.0065
Active,24945368,0.0153
Active,45140150,0.0396
Active,24944934,0.421
Active,24756910,0.0044
Active,24945689,0.0581
Active,24945115,0.0044
Active,45140151,0.1217
Active,45140347,0.0056
Active,45140349,0.0984
Active,24944856,0.0666
Active,46229560,0.1477
Active,46229586,0.2129
Active,46200966,0.0028
Active,46229700,0.0554
Active,5311,0.065
Active,25067623,0.3658
Active,46229683,0.5966
Active,25067624,0.0159
Active,444732,0.005
Active,46229559,0.1089
Active,46229585,0.2261
Active,25067628,0.4258
Active,25068424,0.3636
Active,46231287,0.51
Active,46231327,0.29
Active,46231288,0.36
Active,5311,1.1
Active,46231328,0.3
Active,46861823,31
Active,46861822,31
Active,11449246,0.046
Active,5311,0.033
Active,46890583,0.013
Active,444732,0.0289
Active,5311,0.196
Active,46844536,0.0089
Active,46884117,NULL
Active,46884118,NULL
Active,5311,NULL
Active,46884055,NULL
Active,46884115,NULL
Active,46884016,NULL
Active,46884057,NULL
Active,46884056,0.03
Active,46884061,0.206
Active,5311,NULL
Active,46884016,NULL
Active,46884058,NULL
Active,46884059,NULL
Active,46884057,NULL
Active,46884058,NULL
Active,46884114,0.171
Active,46884117,NULL
Active,46884118,NULL
Active,46884060,NULL
Active,46884117,NULL
Active,46884059,NULL
Active,46884060,NULL
Active,46884116,0.615
Active,5311,0.037
Active,5311,NULL
Active,46884016,NULL
Active,46884118,NULL
Active,46884056,NULL
Active,46884117,NULL
Active,46884118,NULL
Active,46884016,0.032
Active,46884057,0.03
Active,46884057,NULL
Active,46884058,NULL
Active,46884061,NULL
Active,46884114,NULL
Active,46884056,NULL
Active,46884061,NULL
Active,46884058,0.215
Active,46884059,0.021
Active,46884059,NULL
Active,46884060,NULL
Active,46884116,NULL
Active,46884055,NULL
Active,46884114,NULL
Active,46884116,NULL
Active,46884056,NULL
Active,46884060,0.026
Active,46884117,NULL
Active,46884118,NULL
Active,46884115,NULL
Active,46884061,NULL
Active,46884114,NULL
Active,46884117,0.02
Active,46884118,0.035
Active,46884055,NULL
Active,46884115,NULL
Active,46884116,NULL
Active,5311,NULL
Active,46884055,0.251
Active,46884115,0.141
Active,46884056,NULL
Active,46884061,NULL
Active,46884016,NULL
Active,46884057,NULL
Active,46884114,NULL
Active,46884116,NULL
Active,46884058,NULL
Active,46884059,NULL
Active,46884115,NULL
Active,46884060,NULL
Active,46884117,NULL
Active,46884114,NULL
Active,46884118,NULL
Active,46884055,NULL
Active,46884115,NULL
Active,46887919,23.6
Active,46887918,0.133
Active,444732,0.02
Active,42642257,10
Active,42601409,1.19
Active,46906265,32
Active,42642371,0.25
Active,12000743,46.4
Active,5311,0.1
Active,3082127,0.45
Active,42642262,0.08
Active,42642258,0.01
Active,42642257,NULL
Active,3082127,NULL
Active,42642260,NULL
Active,46906265,NULL
Active,14452250,NULL
Active,46906297,NULL
Active,5311,NULL
Active,46906643,NULL
Active,46906594,NULL
Active,46906641,NULL
Active,46906641,NULL
Active,46907052,NULL
Active,46907052,NULL
Active,46906597,NULL
Active,46907054,NULL
Active,46907124,NULL
Active,25207860,NULL
Active,46906597,NULL
Active,46907124,NULL
Active,25207860,NULL
Active,44473232,NULL
Active,46907196,NULL
Active,46907162,NULL
Active,46907198,NULL
Active,46907198,NULL
Active,46907279,NULL
Active,46907281,NULL
Active,5311,NULL
Active,46907281,NULL
Active,46906596,NULL
Active,46906643,NULL
Active,46907278,NULL
Active,46906595,NULL
Active,46907053,NULL
Active,46907092,NULL
Active,46907090,NULL
Active,46907054,NULL
Active,46907160,NULL
Active,44473233,NULL
Active,46907160,NULL
Active,46907197,NULL
Active,46907197,NULL
Active,46907395,0.001
Active,46907405,2.7
Active,46907407,0.04
Active,11265886,0.079
Active,16733414,0.9
Active,44389573,0.9
Active,11379392,0.21
Active,10379373,0.072
Active,46907394,0.019
Active,46907396,0.3
Active,46907406,2
Active,6445533,0.42
Active,444732,0.26
Active,5186,1
Active,5173,9.5
Active,279980,16
Active,6675804,1.5
Active,4996,4.75
Active,6918638,0.175
Active,6918837,0.08
Active,135928012,0.18
Active,5311,3.6
Active,5352062,0.55
Active,44543715,11.5
Active,9804992,0.6
Active,10054482,NULL
Active,10435243,1.308
Active,10460379,3.04
Active,5311,0.065
Active,46913905,0.1636
Active,46916094,0.1042
Active,46913906,0.2082
Active,46916092,0.00777
Active,46916093,0.00103
Active,9543539,NULL
Active,9543539,NULL
Active,9543539,NULL
Active,9543551,17
Active,9543556,14
Active,6678454,34
Active,444732,0.015
Active,5311,0.12
Active,50898980,9.4
Active,52942121,0.122
Active,52942292,0.03
Active,52945855,0.045
Active,52941022,0.042
Active,50898619,0.013
Active,52945750,0.012
Active,52949337,0.123
Active,5311,0.087
Active,52943493,0.05
Active,52945663,0.064
Active,52945665,0.433
Active,52947746,0.095
Active,444732,0.006
Active,4261,1.4
Active,5186,0.3
Active,5311,0.4
Active,11848287,0.53
Active,53323775,0.28
Active,11849153,0.43
Active,11848478,3.27
Active,11848285,0.72
Active,11849154,0.15
Active,11849152,1.53
Active,11848284,0.09
Active,11848286,0.06
Active,53317649,2.95
Active,11848476,0.32
Active,11849156,0.36
Active,11849155,0.86
Active,11848287,0.38
Active,53323775,0.39
Active,11849153,0.46
Active,11848478,6.24
Active,11848285,0.5
Active,11849154,0.19
Active,11849152,1.3
Active,11848284,0.03
Active,11848286,0.03
Active,53317649,2.65
Active,11848476,0.2
Active,11849156,0.34
Active,11849155,0.84
Active,25032059,0.05
Active,53326649,0.0076
Active,5311,0.08
Active,10383069,0.0066
Active,24178404,0.0039
Active,53317827,0.044
Active,53325741,0.42
Active,16733294,0.08
Active,44572384,11
Active,49855952,8.3
Active,42596953,0.047
Active,49855953,0.43
Active,5311,0.07
Active,49855568,0.63
Active,88129,37
Active,279980,25
Active,6445533,0.00558
Active,25066549,0.341
Active,25227508,0.109
Active,25227513,0.15
Active,444732,0.01648
Active,24779722,0.134
Active,25066547,0.695
Active,25066355,1.34
Active,25066548,0.0554
Active,25227505,0.155
Active,5311,0.378
Active,25066356,0.878
Active,25227504,0.0622
Active,52938734,45.8
Active,54582131,21
Active,52936795,15.3
Active,5311,0.15
Active,52936794,13
Active,52918057,0.84
Active,54584126,1.39
Active,52918059,0.1
Active,52918061,0.54
Active,52918058,0.26
Active,5311,0.079
Active,52918060,0.09
Active,54753629,32
Active,4261,3.2
Active,5311,0.09
Active,54753628,0.35
Active,56668788,15
Active,53387509,0.052
Active,5311,0.0417
Active,54576744,0.0222
Active,54770222,0.4263
Active,54770438,0.1282
Active,54770441,0.4255
Active,54770442,0.0237
Active,54770440,0.7116
Active,54576529,0.0289
Active,54770437,0.5232
Active,54770657,0.1117
Active,54770439,0.039
Active,54770436,0.2099
Active,54576530,0.0246
Active,10917737,NULL
Active,53258999,NULL
Active,53258553,NULL
Active,11094052,NULL
Active,53258551,NULL
Active,11028224,NULL
Active,53258552,NULL
Active,53357596,0.358
Active,53357597,1.32
Active,56659683,1.23
Active,53357716,0.889
Active,136015318,0.838
Active,136015315,0.055
Active,136015322,0.171
Active,136015325,0.111
Active,444732,0.003
Active,136015316,0.132
Active,136015321,0.09
Active,136015317,0.137
Active,136015323,0.403
Active,136015319,0.054
Active,136007831,0.062
Active,136007828,0.022
Active,136015326,0.094
Active,5311,0.067
Active,136015324,0.51
Active,136007829,0.018
Active,136015320,0.115
Active,136007832,0.077
Active,49857317,0.2
Active,49856931,0.5
Active,5311,3
Active,49857124,0.016
Active,49856928,0.034
Active,49855593,0.0065
Active,49857313,0.016
Active,49855594,0.027
Active,49856931,0.013
Active,49857125,0.03
Active,49857315,0.014
Active,56679976,0.018
Active,49855789,0.013
Active,49857127,0.02
Active,5311,0.087
Active,49855976,0.057
Active,49856929,0.044
Active,49856932,0.014
Active,49857123,0.034
Active,49855588,0.032
Active,49857317,0.008
Active,49857317,0.0048
Active,49857128,0.022
Active,49857316,0.009
Active,49857126,0.015
Active,49856930,0.027
Active,49856927,0.01
Active,49856926,0.0124
Active,49855395,0.023
Active,49855790,0.04
Active,49857314,0.016
Active,24757913,0.572
Active,53258555,0.00017
Active,56673568,0.00099
Active,56683541,0.0053
Active,56663191,4.30E-05
Active,56663192,0.00315
Active,56680201,0.0172
Active,5311,0.288
Active,5352062,0.0244
Active,52951359,0.214
Active,52951255,0.128
Active,52951464,0.447
Active,5311,0.107
Active,52951362,0.073
Active,52951465,0.297
Active,52952491,0.058
Active,52951360,0.108
Active,52951364,0.071
Active,52951254,0.065
Active,5311,0.036
Active,44564642,0.016
Active,16068495,0.011
Active,90664458,0.021
Active,6918846,0.018
Active,16068056,0.011
Active,53363518,0.0031
Active,16068594,0.0066
Active,15983982,0.0092
Active,16068912,0.0056
Active,16068595,0.0068
Active,6918638,0.025
Active,6918877,0.017
Active,6918837,0.0007
Active,136086924,16.7
Active,136086922,48.6
Active,135446479,27.9
Active,5311,0.079
Active,52918057,0.84
Active,52918061,0.54
Active,11848899,0.124
Active,11848898,0.173
Active,56928522,0.213
Active,11848949,0.181
Active,11848948,0.128
Active,57396190,0.317
Active,57394371,0.537
Active,44253363,1.41
Active,44253505,0.366
Active,44253779,2.99
Active,44253778,2.55
Active,44253509,1.19
Active,44253358,0.641
Active,44253226,0.121
Active,44253508,1.21
Active,44253504,1.04
Active,44253653,0.932
Active,44253648,5.15
Active,52952418,29
Active,44253361,0.14
Active,44253652,0.221
Active,44253359,0.316
Active,52951037,5.84
Active,52951172,0.538
Active,44253360,0.288
Active,44253506,0.408
Active,44253507,9.02
Active,52952417,24
Active,44240793,0.082
Active,44253364,2.173
Active,44253226,0.1
Active,56951446,14
Active,57336562,42
Active,56951447,49
Active,57336568,45
Active,56951446,30
Active,444732,0.00808
Active,53361475,0.932
Active,53361474,0.892
Active,9969900,0.023
Active,10237760,0.191
Active,10269458,0.042
Active,42599455,0.026
Active,9902895,0.013
Active,10134605,0.01
Active,10126993,0.022
Active,10127077,0.187
Active,9882059,0.02
Active,9901621,0.029
Active,10241991,0.048
Active,10194639,0.149
Active,10309493,0.132
Active,9816273,0.028
Active,9858973,0.02
Active,10194570,0.212
Active,10172825,0.084
Active,10310040,0.068
Active,10287354,0.123
Active,10269218,0.022
Active,10081950,0.022
Active,10151472,0.269
Active,46838751,NULL
Active,46838752,NULL
Active,44253226,NULL
Active,44253226,NULL
Active,4261,NULL
Active,4261,NULL
Active,4261,NULL
Active,4261,NULL
Active,4261,NULL
Active,4261,NULL
Active,4261,NULL
Active,4261,NULL
Active,4261,NULL
Active,5186,NULL
Active,5186,NULL
Active,49799582,NULL
Active,5186,NULL
Active,5186,NULL
Active,5186,NULL
Active,5186,NULL
Active,5173,NULL
Active,444732,NULL
Active,444732,NULL
Active,444732,NULL
Active,444732,NULL
Active,444732,NULL
Active,64945,NULL
Active,64945,NULL
Active,42596953,NULL
Active,444732,NULL
Active,444732,NULL
Active,24757913,NULL
Active,24757913,NULL
Active,24757913,NULL
Active,24757913,NULL
Active,53361474,NULL
Active,419176,NULL
Active,53361474,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,5311,NULL
Active,279980,NULL
Active,3121,NULL
Active,25207860,NULL
Active,53361475,NULL
Active,53361475,NULL
Active,53361475,NULL
Active,53362593,NULL
Active,53361475,NULL
Active,9543540,NULL
Active,53362593,NULL
Active,44551271,NULL
Active,5311,0.079
Active,70684387,0.053
Active,70692855,0.111
Active,70696942,0.153
Active,70694885,0.042
Active,70694886,0.06
Active,70681936,3.27
Active,70684052,3.48
Active,70686190,6.02
Active,70690334,1.21
Active,70694544,0.56
Active,70681935,3.65
Active,70690332,3.19
Active,70694542,3.01
Active,70686191,3.02
Active,70696599,1.09
Active,70684051,3.59
Active,70690333,2.03
Active,70694543,1.86
Active,70696598,4.09
Active,5311,0.98
Active,70681934,1.89
Active,5311,0.0964
Active,53464638,0.0097
Active,53464579,0.0168
Active,53464641,0.1865
Active,57413556,0.1709
Active,53464764,0.2752
Active,53464639,0.0321
Active,53464578,0.0068
Active,53464770,0.0126
Active,53464640,0.7576
Active,57413558,0.4075
Active,53464577,0.0295
Active,53464705,0.254
Active,136069558,0.031
Active,135985856,0.023
Active,136069559,0.005
Active,136069550,0.004
Active,135985828,0.178
Active,135985829,0.041
Active,135903324,0.104
Active,135985864,0.333
Active,136069553,0.007
Active,135985857,0.086
Active,136069551,0.019
Active,136069552,0.14
Active,135985865,0.049
Active,135985827,0.105
Active,135985866,0.219
Active,5311,0.067
Active,5311,15
Active,4261,3.16
Active,71455807,0.456
Active,71455808,0.344
Active,71457594,1.94
Active,71459490,0.349
Active,5311,0.086
Active,5311,0.17
Active,136030780,23
Active,136030779,37
Active,136030781,44
Active,46896338,3.5
Active,59454220,5.3
Active,59454252,1.1
Active,71462653,11.7
Active,71455172,1
Active,42611486,0.04
Active,71456958,0.06
Active,71458827,0.21
Active,6918328,0.022
Active,71453454,0.25
Active,71453462,18
Active,5311,0.12
Active,71527977,0.18
Active,71528201,1.17
Active,71527976,0.16
Active,71536148,0.57
Active,71527975,0.38
Active,71536968,1.47
Active,71528203,0.73
Active,71536967,1.06
Active,71527845,2.91
Active,71536146,0.17
Active,71528085,0.14
Active,71528084,0.18
Active,71535880,0.65
Active,71528083,0.43
Active,71528086,0.32
Active,71535881,2.09
Active,71535884,0.49
Active,71536691,1.12
Active,71528202,0.8
Active,71528200,0.43
Active,71527847,1.08
Active,5311,0.19
Active,71527974,0.62
Active,71528318,0.71
Active,5352062,0.0036
Active,56683541,0.0033
Active,71717929,0.0022
Active,5311,0.59
Active,71520717,0.35
Active,71520631,1.13
Active,71520716,1.1
Active,5311,0.61
Active,5311,0.44
Active,71520628,2
Active,71520717,0.41
Active,71520631,1.28
Active,71520630,0.5
Active,5311,0.61
Active,71520536,0.85
Active,71520717,0.32
Active,71520716,1.66
Active,71520717,0.46
Active,71520631,1.41
Active,71520629,1.95
Active,5311,0.61
Active,71520716,1.57
Active,71520534,5.73
Active,71521451,16.6
Active,71520717,0.36
Active,71520631,0.88
Active,71520537,2.05
Active,71520627,1.26
Active,5311,0.36
Active,71520716,0.91
Active,71520535,0.9
Active,71520717,0.36
Active,71520631,1
Active,71520633,15.4
Active,71521453,4.95
Active,71520716,1.1
Active,5311,0.7
Active,71521531,43.9
Active,71520532,1.66
Active,71520717,1
Active,71520626,4.64
Active,71520631,2.62
Active,71520716,2.82
Active,71520424,1.71
Active,71520539,8.86
Active,71521532,43.9
Active,71520625,5.38
Active,71520632,3.46
Active,71520533,1.43
Active,71520631,0.9
Active,71520716,0.88
Active,444732,0.25
Active,71520538,1.32
Active,5311,0.53
Active,71520628,2.57
Active,71520630,0.6
Active,71520536,1.07
Active,71520717,0.65
Active,71520629,2.09
Active,71520534,6.64
Active,71521451,15.2
Active,71520537,2.86
Active,71520627,1.58
Active,71520535,1.06
Active,71520633,17.1
Active,71521453,5.86
Active,71521531,34
Active,71520532,2.04
Active,71520626,5.27
Active,71520424,1.7
Active,71521532,34
Active,71520625,7.63
Active,444732,0.43
Active,71520538,1.41
Active,71520632,4.21
Active,71520533,1.45
Active,71520631,1.58
Active,71520716,1.61
Active,71520539,11.7
Active,5311,8.75
Active,49850262,2.3
Active,71655802,18.32
Active,5311,20
Active,71520717,0.00422
Active,71520631,0.00231
Active,71520716,0.0334
Active,444732,6.155
Active,72543937,0.234
Active,72544177,0.13
Active,72547525,0.172
Active,72544176,0.21
Active,72543940,0.304
Active,72543939,0.186
Active,49855250,0.126
Active,72543941,0.41
Active,72544179,0.187
Active,72547526,0.206
Active,5311,0.141
Active,72544178,0.216
Active,72547524,0.198
Active,72698008,12.8
Active,72697869,10.5
Active,72697864,43
Active,72697865,10.8
Active,72697867,3.94
Active,72698006,10.3
Active,72697863,12.5
Active,72696204,7.43
Active,72698007,8.95
Active,72698150,2.82
Active,73349614,15.4
Active,72698152,24.2
Active,72696074,16.4
Active,72696071,15.1
Active,72697866,8.43
Active,72698004,11.5
Active,72698151,7.8
Active,5311,2.59
Active,73349613,49.3
Active,72697868,9.47
Active,72698005,49.6
Active,72696075,11.6
Active,4261,NULL
Active,4261,NULL
Active,4261,NULL
Active,4261,NULL
Active,4261,NULL
Active,4261,NULL
Active,44561652,NULL
Active,4261,NULL
Active,4261,NULL
Active,44561652,NULL
Active,73348050,NULL
Active,4261,NULL
Active,44561652,NULL
Active,73348050,NULL
Active,4261,NULL
Active,44561652,NULL
Active,73348050,NULL
Active,4261,NULL
Active,73348050,NULL
Active,4261,NULL
Active,44561652,NULL
Active,4261,NULL
Active,44561652,NULL
Active,44561652,NULL
Active,73348050,NULL
Active,73348050,NULL
Active,44561652,NULL
Active,44561652,NULL
Active,44561652,NULL
Active,73348050,NULL
Active,73348050,NULL
Active,73348050,NULL
Active,73348050,NULL
Active,73348050,NULL
Active,73348050,NULL
Active,73348050,NULL
Active,73348050,NULL
Active,73348050,NULL
Active,44561652,NULL
Active,73348050,NULL
Active,73348050,NULL
Active,73348050,NULL
Active,5311,0.14
Active,5311,0.053
Active,71770055,2.65
Active,71770558,3.49
Active,71770194,1.25
Active,71770195,1.61
Active,71770321,1.71
Active,71769927,0.18
Active,71770059,1.87
Active,71770054,3.17
Active,71770320,1.21
Active,71770559,2.28
Active,71770193,1.31
Active,71769926,0.17
Active,71770560,0.4
Active,71770440,1.59
Active,71769925,0.13
Active,71770561,2.36
Active,71769928,0.54
Active,71770057,0.17
Active,71770684,1.57
Active,71770439,2.31
Active,71770319,0.089
Active,71770436,1.66
Active,71770056,2.55
Active,71770562,0.84
Active,71770191,2.54
Active,71770060,1.48
Active,71770192,2.12
Active,72204666,0.38
Active,72204662,0.16
Active,73353605,0.36
Active,72205221,0.31
Active,5311,0.13
Active,72204665,0.6
Active,72204667,0.32
Active,72204663,0.34
Active,72205411,0.12
Active,72204664,0.18
Active,71714531,0.989
Active,71714532,1.08
Active,71714526,2.91
Active,71714527,9.19
Active,71714528,11.63
Active,71714529,3.79
Active,71714525,0.458
Active,11708207,2.17
Active,71712310,0.557
Active,57658333,1.76
Active,71714530,1.35
Active,5311,2.8
Active,60163732,6.7
Active,5311,0.102
Active,44253226,0.121
Active,44253780,0.083
Active,71698769,0.204
Active,71698768,0.078
Active,71699034,0.527
Active,71699035,0.136
Active,58147896,0.059
Active,71698939,0.091
Active,71699036,0.137
Active,71699037,0.258
Active,58147895,0.645
Active,71698938,0.103
Active,58147881,0.667
Active,58147877,0.174
Active,57412107,0.108
Active,71699121,0.54
Active,71698854,0.099
Active,57412108,0.113
Active,71625224,0.1207
Active,5311,0.065
Active,71625344,0.0562
Active,71625225,0.06465
Active,71625342,0.1445
Active,71625343,0.1122
Active,71625341,0.2123
Active,71625223,0.1554
Active,71625441,0.298
Active,71625559,0.164
Active,5311,0.122
Active,71625562,0.157
Active,71625213,0.25
Active,6918638,0.027
Active,6918837,0.03
Active,71625445,0.14
Active,71625326,0.214
Active,71602399,0.33
Active,5311,0.11
Active,73333311,3.3
Active,6675804,3.35
Active,6675804,3.35
Active,16733295,0.31
Active,16733414,0.89
Active,57328394,15
Active,53340666,5
Active,54613496,0.0025
Active,444732,4.12
Active,72164895,3.891
Active,5311,27.2
Active,6918837,0.3
Active,71681069,26
Active,5311,11
Active,5311,NULL
Active,5222465,NULL
Active,5222465,NULL
Active,76315120,NULL
Active,76329628,NULL
Active,5311,NULL
Active,76315120,NULL
Active,5311,NULL
Active,76315120,NULL
Active,76329628,NULL
Active,5222465,NULL
Active,76329628,NULL
Active,76315120,NULL
Active,76329628,NULL
Active,5311,NULL
Active,76315120,NULL
Active,5222465,NULL
Active,76329628,NULL
Active,5222465,NULL
Active,5311,NULL
Active,6918878,0.204
Active,11210533,14.2
Active,73891099,9.8
Active,5311,0.14
Active,73055011,0.61
Active,73055009,0.38
Active,73055010,0.49
Active,5311,4.6
Active,239512,0.16
Active,60148711,0.03
Active,57521296,0.009
Active,60148646,0.15
Active,60148712,0.05
Active,60148693,0.004
Active,53344908,0.08
Active,54030066,0.15
Active,60148997,0.34
Active,60148667,0.03
Active,76324878,0.007
Active,60148690,0.009
Active,44562802,0.01
Active,5311,0.079
Active,58191997,0.25
Active,58191999,0.38
Active,87618609,0.51
Active,58191965,0.2
Active,58191950,7.2
Active,58191961,0.0064
Active,88005144,0.2
Active,5311,0.063
Active,58191997,2.46
Active,58191965,1.85
Active,58191950,4.24
Active,58191961,0.034
Active,88005144,0.78
Active,15986509,NULL
Active,5311,0.1208
Active,71535880,0.6105
Active,90670110,0.0966
Active,90670111,0.2551
Active,90670112,0.0976
Active,90670113,0.0843
Active,90654859,0.1578
Active,73774763,0.4397
Active,90670117,0.4476
Active,73774764,0.389
Active,73776615,0.0204
Active,90670115,0.1985
Active,73776753,0.9778
Active,73776897,0.0208
Active,73776898,0.67369
Active,73776899,1.0431
Active,90670116,0.148
Active,90670109,0.6001
Active,73776470,1.7034
Active,73776752,0.1303
Active,90670114,0.0523
Active,73776329,0.6369
Active,73776327,0.0232
Active,73776472,0.0056
Active,73776614,0.0067
Active,73776616,0.0048
Active,73776326,0.0105
Active,73776474,0.0504
Active,73776473,0.1479
Active,73776612,0.1865
Active,73776613,0.2098
Active,90670108,0.5307
Active,86765212,8.73
Active,90676507,0.23
Active,90656724,0.48
Active,5311,0.48
Active,86765212,0.1
Active,90676510,0.24
Active,90676511,0.6
Active,90676512,0.85
Active,90676506,0.51
Active,90676508,0.5
Active,90676509,0.56
Active,5311,0.12
Active,5311,0.26
Active,90675414,22.16
Active,90675416,49.3
Active,90675418,15.6
Active,90675427,29.5
Active,90675408,5.82
Active,90675411,4.91
Active,90675409,2.96
Active,78319205,1.37
Active,78319206,0.94
Active,78319207,0.73
Active,78319208,0.57
Active,90675422,31.32
Active,90675410,2.81
Active,90675412,9.04
Active,90675419,24.01
Active,24744325,0.4
Active,24744325,0.016
Active,90655296,1.91
Active,5311,0.378
Active,5311,0.378
Active,86302594,1.58
Active,15986509,29.6
Active,15986418,11.2
Active,444732,0.0165
Active,5311,0.378
Active,118720518,0.4477
Active,118720520,0.4986
Active,118720522,0.1912
Active,118720527,0.779
Active,118720529,0.0385
Active,5311,0.1448
Active,118720524,0.0819
Active,118720525,0.3579
Active,118720526,0.2589
Active,118720519,0.4645
Active,118720521,0.6924
Active,118720528,0.0674
Active,73774762,0.9174
Active,118720516,0.8864
Active,118720517,0.8615
Active,73774763,0.4214
Active,73774764,0.3698
Active,118720523,0.2187
Active,46226795,40
Active,5793932,8.2
Active,1798422,12.6
Active,118720703,18.6
Active,444732,0.0075
Active,5281220,18.5
Active,71538210,0.2
Active,89471379,0.05
Active,71506894,0.1
Active,71538210,0.005
Active,89471379,0.031
Active,71506894,0.1
Active,118712967,30
Active,118712969,42
Active,118712971,48
Active,91884577,6
Active,118712965,34
Active,17754557,0.045
Active,12291400,0.135
Active,17754557,0.025
Active,17754557,0.325
Active,49846995,0.38
Active,49846991,0.23
Active,49846419,0.42
Active,49846125,0.16
Active,49846275,0.32
Active,49846277,0.07
Active,49847227,0.07
Active,89001938,0.57
Active,49847146,0.03
Active,89001875,0.05
Active,49846920,0.19
Active,89001816,0.36
Active,49846349,0.07
Active,49846205,0.11
Active,49846623,0.1
Active,49846990,0.1
Active,89001876,0.3
Active,49846418,0.03
Active,49846207,0.12
Active,118737949,3.94
Active,49847221,0.38
Active,118737948,0.46
Active,49847075,0.48
Active,49847151,0.1
Active,49847076,0.21
Active,49846841,0.31
Active,118737950,0.38
Active,49847147,0.14
Active,5311,0.11
Active,49846694,0.09
Active,49846994,0.15
Active,5311,0.105
Active,118734641,0.251
Active,118734643,0.087
Active,118734645,0.31
Active,118734648,0.402
Active,118734650,0.334
Active,118734644,0.848
Active,118734649,0.293
Active,118734646,0.355
Active,71510730,0.158
Active,71510731,0.123
Active,118734647,0.159
Active,118734642,0.152
Active,6918638,0.0264
Active,118712705,0.0474
Active,118712707,0.0092
Active,118712712,0.0075
Active,118712708,0.0066
Active,118712709,0.0057
Active,118712704,0.0073
Active,118712706,0.0296
Active,118712710,0.0439
Active,118712711,0.7718
Active,118712700,0.0033
Active,118712701,0.0028
Active,118712702,0.0034
Active,118712703,0.0079
Active,118708140,0.0064
Active,118737400,9.37
Active,6675804,3.35
Active,58465708,29
Active,73333311,3.3
Active,5311,27.2
Active,101882265,36
Active,118714376,3.54
Active,5311,2.48
Active,118714371,9.85
Active,5311,2.58
Active,46852450,0.458
Active,46843052,0.123
Active,51038885,0.172
Active,67082695,0.64
Active,88850562,8.644
Active,51039085,0.06
Active,67082776,0.222
Active,5311,0.012
Active,122195527,0.017
Active,122195528,0.0054
Active,122195529,0.531
Active,122195530,0.097
Active,122195526,0.121
Active,122195537,0.348
Active,122195538,0.057
Active,122195525,0.645
Active,122195532,0.0045
Active,122195534,0.086
Active,122195539,0.021
Active,122195531,0.015
Active,122195533,0.215
Active,122195540,0.0084
Active,122195535,0.014
Active,122195536,0.0028
Active,20785858,0.2
Active,12136798,7.16
Active,5311,0.6
Active,444732,0.012
Active,56932477,0.117
Active,56932478,0.443
Active,56837168,0.935
Active,15399275,1.8
Active,15399275,0.6
Active,56932477,0.85
Active,444732,1.4
Active,5311,27
Active,86294741,37
Active,86294747,27
Active,59585196,35
Active,9804992,0.6
Active,444732,0.26
Active,6445533,0.42
Active,49855250,0.021
Active,6675804,1.9196
Active,6918638,0.175
Active,6918837,0.08
Active,11538455,0.0021
Active,102514716,0.37
Active,53344908,0.1084
Active,102514716,26.57
Active,4261,8.02
Active,102514716,1.48
Active,74226538,19.18
Active,74225266,29.8
Active,127028894,3.7
Active,5311,0.38
Active,127030313,8
Active,15986509,8.7
Active,127031793,2.5
Active,127030313,6.4
Active,5311,0.28
Active,15986509,32.6
Active,127031793,2.6
Active,127030313,1.5
Active,4261,6.73
Active,4261,11.18
Active,10075681,7.59
Active,10075681,4.99
Active,6918837,0.19
Active,5311,0.055
Active,127027017,0.043
Active,127028973,0.033
Active,11379392,0.058
Active,127026695,0.081
Active,127027021,0.364
Active,127025178,0.015
Active,127028943,0.018
Active,127027679,0.056
Active,127027993,0.608
Active,127027995,0.008
Active,137174935,0.07
Active,127027020,0.715
Active,127027677,0.023
Active,127027678,0.15
Active,127027680,0.102
Active,127027994,0.102
Active,127028295,0.245
Active,127024973,0.139
Active,127026070,1.34
Active,127027093,0.128
Active,127027094,0.029
Active,127027095,0.018
Active,127028036,0.554
Active,127028038,0.032
Active,127027065,0.011
Active,127028028,0.068
Active,127028029,0.012
Active,127028030,0.0022
Active,127027091,0.029
Active,127027370,0.0032
Active,127027371,0.074
Active,127027714,0.545
Active,127028037,0.145
Active,5311,0.015
Active,127027008,0.84
Active,127027064,0.132
Active,127027096,0.698
Active,127027372,0.031
